Title,Year,Rating
Double Indemnity,1944,8.3
Like Stars on Earth,2007,8.3
Vikram,2022,8.3
Dangal,2016,8.3
K.G.F: Chapter 2,2022,8.3
Bicycle Thieves,1948,8.3
Pather Panchali,1955,8.3
Ayla: The Daughter of War,2017,8.3
Shershaah,2021,8.3
The Kid,1921,8.3
Chhichhore,2019,8.3
Raatchasan,2018,8.3
Drishyam,2013,8.3
The Wolf of Wall Street,2013,8.2
Spider-Man: No Way Home,2021,8.2
Jurassic Park,1993,8.2
Green Book,2018,8.2
Taxi Driver,1976,8.2
No Country for Old Men,2007,8.2
1917,2019,8.2
Shutter Island,2010,8.2
There Will Be Blood,2007,8.2
Indiana Jones and the Last Crusade,1989,8.2
The Sixth Sense,1999,8.2
Snatch,2000,8.2
Batman Begins,2005,8.2
Kill Bill: Vol. 1,2003,8.2
The Father,I) (2020,8.2
A Beautiful Mind,2001,8.2
The Thing,1982,8.2
Pan's Labyrinth,2006,8.2
Howl's Moving Castle,2004,8.2
The Truman Show,1998,8.2
Casino,1995,8.2
"Lock, Stock and Two Smoking Barrels",1998,8.2
Gone with the Wind,1939,8.2
Die Hard,1988,8.2
L.A. Confidential,1997,8.2
Some Like It Hot,1959,8.2
Unforgiven,1992,8.2
Finding Nemo,2003,8.2
V for Vendetta,2005,8.2
Chinatown,1974,8.2
Warrior,2011,8.2
Raging Bull,1980,8.2
Downfall,2004,8.2
The Elephant Man,1980,8.2
Monty Python and the Holy Grail,1975,8.2
Demon Slayer the Movie: Mugen Train,2020,8.2
Drishyam 2,2022,8.2
The Great Escape,1963,8.2
The Secret in Their Eyes,2009,8.2
The Bridge on the River Kwai,1957,8.2
Ran,1985,8.2
For a Few Dollars More,1965,8.2
All About Eve,1950,8.2
Z,1969,8.2
Tumbbad,2018,8.2
Baahubali 2: The Conclusion,2017,8.2
Rashomon,1950,8.2
Klaus,2019,8.2
Gangs of Wasseypur,2012,8.2
The Treasure of the Sierra Madre,1948,8.2
Dial M for Murder,1954,8.2
Drishyam,2015,8.2
Miracle in Cell No. 7,2019,8.2
Yojimbo,1961,8.2
Andhadhun,2018,8.2
Zindagi Na Milegi Dobara,2011,8.2
Tokyo Story,1953,8.2
Swades,2004,8.2
Children of Heaven,1997,8.2
To Be or Not to Be,1942,8.2
K.G.F: Chapter 1,2018,8.2
The Passion of Joan of Arc,1928,8.2
Dersu Uzala,1975,8.2
The Wages of Fear,1953,8.2
Sherlock Jr.,1924,8.2
My Father and My Son,2005,8.2
Uri: The Surgical Strike,2019,8.2
Vikram Vedha,2017,8.2
Umberto D.,1952,8.2
Bhaag Milkha Bhaag,2013,8.2
Paan Singh Tomar,2012,8.2
The Help,2011,8.1
Rocky,1976,8.1
All Quiet on the Western Front,1930,8.1
Prisoners,2013,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Stand by Me,1986,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
Mad Max: Fury Road,2015,8.1
Catch Me If You Can,2002,8.1
Ford v Ferrari,2019,8.1
Hacksaw Ridge,2016,8.1
Blade Runner,1982,8.1
Gone Girl,2014,8.1
The Grand Budapest Hotel,2014,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Spotlight,I) (2015,8.1
The Big Lebowski,1998,8.1
Platoon,1986,8.1
Ratatouille,2007,8.1
The Exorcist,1973,8.1
12 Years a Slave,2013,8.1
The Terminator,1984,8.1
Jaws,1975,8.1
Fargo,1996,8.1
Room,I) (2015,8.1
The Handmaiden,2016,8.1
Ben-Hur,1959,8.1
Dead Poets Society,1989,8.1
The Wizard of Oz,1939,8.1
Into the Wild,2007,8.1
Inside Out,I) (2015,8.1
The Deer Hunter,1978,8.1
Logan,2017,8.1
The Sound of Music,1965,8.1
Trainspotting,1996,8.1
Memories of Murder,2003,8.1
Million Dollar Baby,2004,8.1
Before Sunrise,1995,8.1
How to Train Your Dragon,2010,8.1
Groundhog Day,1993,8.1
"Monsters, Inc.",2001,8.1
Rush,I) (2013,8.1
In the Mood for Love,2000,8.1
It Happened One Night,1934,8.1
Portrait of a Lady on Fire,2019,8.1
Gran Torino,2008,8.1
Hachi: A Dog's Tale,2009,8.1
The Third Man,1949,8.1
Wild Tales,2014,8.1
Rebecca,1940,8.1
Barry Lyndon,1975,8.1
Cool Hand Luke,1967,8.1
My Neighbor Totoro,1988,8.1
Before Sunset,2004,8.1
Network,1976,8.1
La haine,1995,8.1
In the Name of the Father,1993,8.1
A Silent Voice: The Movie,2016,8.1
"Paris, Texas",1984,8.1
Stalker,1979,8.1
The Seventh Seal,1957,8.1
The Iron Giant,1999,8.1
On the Waterfront,1954,8.1
The Man Who Shot Liberty Valance,1962,8.1
The Best Years of Our Lives,1946,8.1
Amores Perros,2000,8.1
Three Colors: Red,1994,8.1
Persona,1966,8.1
Hotel Rwanda,2004,8.1
The Grapes of Wrath,1940,8.1
Paper Moon,1973,8.1
PK,2014,8.1
Neon Genesis Evangelion: The End of Evangelion,1997,8.1
The 400 Blows,1959,8.1
The Celebration,1998,8.1
Mary and Max,2009,8.1
Sunrise,1927,8.1
Wild Strawberries,1957,8.1
The Red Shoes,1948,8.1
Fanny and Alexander,1982,8.1
Lagaan: Once Upon a Time in India,2001,8.1
A Woman Under the Influence,1974,8.1
Farewell My Concubine,1993,8.1
Underground,1995,8.1
The General,1926,8.1
The Battle of Algiers,1966,8.1
The Message,1976,8.1
Inherit the Wind,1960,8.1
Andrei Rublev,1966,8.1
Yi Yi: A One and a Two...,2000,8.1
Mr. Smith Goes to Washington,1939,8.1
Dil Chahta Hai,2001,8.1
The Hidden Fortress,1958,8.1
Wolf Children,2012,8.1
Throne of Blood,1957,8.1
The Gold Rush,1925,8.1
Time of the Gypsies,1988,8.1
Diabolique,1955,8.1
Winter Sleep,2014,8.1
Nights of Cabiria,1957,8.1
Barfi!,2012,8.1
Autumn Sonata,1978,8.1
Raise the Red Lantern,1991,8.1
Udaan,2010,8.1
Ace in the Hole,1951,8.1
White Heat,1949,8.1
Queen,2013,8.1
Rang De Basanti,2006,8.1
The Virgin Spring,1960,8.1
Talvar,2015,8.1
Let's Go! India,2007,8.1
Masaan,2015,8.1
The Grand Illusion,1937,8.1
Bajrangi Bhaijaan,2015,8.1
Article 15,2019,8.1
Sholay,1975,8.1
Tangerines,2013,8.1
Hera Pheri,2000,8.1
Jean de Florette,1986,8.1
Rififi,1955,8.1
The Circus,1928,8.1
Munna Bhai M.B.B.S.,2003,8.1
A Wednesday,2008,8.1
The Bandit,1996,8.1
Kahaani,2012,8.1
OMG: Oh My God!,2012,8.1
Pink,III) (2016,8.1
Black,2005,8.1
Anand,1971,8.1
Sarfarosh,1999,8.1
Everything's Gonna Be Great,1998,8.1
Dune,2021,8
Blade Runner 2049,2017,8
Black Swan,2010,8
CODA,2021,8
La La Land,2016,8
Zack Snyder's Justice League,2021,8
The Princess Bride,1987,8
Guardians of the Galaxy,2014,8
The Avengers,2012,8
Her,2013,8
Zootopia,2016,8
Slumdog Millionaire,2008,8
Deadpool,2016,8
Donnie Darko,2001,8
The Revenant,2015,8
Scent of a Woman,1992,8
Sin City,2005,8
Fiddler on the Roof,1971,8
The Martian,2015,8
The Imitation Game,2014,8
Magnolia,1999,8
Rain Man,1988,8
Casino Royale,2006,8
The Incredibles,2004,8
Dog Day Afternoon,1975,8
Dances with Wolves,1990,8
Aladdin,1992,8
Beauty and the Beast,1991,8
Soul,2020,8
The Pursuit of Happyness,2006,8
12 Monkeys,1995,8
The King's Speech,2010,8
The Graduate,1967,8
Big Fish,2003,8
Lion,2016,8
Planet of the Apes,1968,8
JFK,1991,8
Young Frankenstein,1974,8
Blood Diamond,2006,8
Who's Afraid of Virginia Woolf?,1966,8
Gandhi,1982,8
Perfect Blue,1997,8
Akira,1988,8
Rosemary's Baby,1968,8
Butch Cassidy and the Sundance Kid,1969,8
Baahubali: The Beginning,2015,8
Do the Right Thing,1989,8
The Invisible Guest,2016,8
Chungking Express,1994,8
Kill Bill: Vol. 2,2004,8
Life of Brian,1979,8
Cinderella Man,2005,8
La strada,1954,8
Ip Man,2008,8
Rio Bravo,1959,8
Dogville,2003,8
The Bourne Ultimatum,2007,8
Annie Hall,1977,8
Sling Blade,1996,8
The Last Picture Show,1971,8
Papillon,1973,8
Cries & Whispers,1972,8
Being There,1979,8
Wolfwalkers,2020,8
8½,1963,8
What Ever Happened to Baby Jane?,1962,8
Pink Floyd: The Wall,1982,8
Castle in the Sky,1986,8
La Dolce Vita,1960,8
Roman Holiday,1953,8
Nausicaä of the Valley of the Wind,1984,8
Mommy,I) (2014,8
Solaris,1972,8
The Maltese Falcon,1941,8
Song of the Sea,2014,8
High Noon,1952,8
The Legend of 1900,1998,8
The Cabinet of Dr. Caligari,1920,8
Wings of Desire,1987,8
The Night of the Hunter,1955,8
Infernal Affairs,2002,8
Touch of Evil,1958,8
The Hustler,1961,8
Mirror,1975,8
The Straight Story,1999,8
Elite Squad,2007,8
The Leopard,1963,8
Anatomy of a Murder,1959,8
Secrets & Lies,1996,8
Dilwale Dulhania Le Jayenge,1995,8
The Tale of The Princess Kaguya,2013,8
Sleuth,1972,8
Fitzcarraldo,1982,8
"Quo Vadis, Aida?",2020,8
Brief Encounter,1945,8
The Sea Inside,I) (2004,8
Persepolis,2007,8
Stalag 17,1953,8
The Diving Bell and the Butterfly,2007,8
Le Samouraï,1967,8
My Sassy Girl,2001,8
Out of the Past,1947,8
Sweet Smell of Success,1957,8
Nostalghia,1983,8
Nobody Knows,2004,8
Ivan's Childhood,1962,8
Departures,2008,8
"Spring, Summer, Fall, Winter... and Spring",2003,8
"Black Cat, White Cat",1998,8
The Shop Around the Corner,1940,8
"Goodbye, Children",1987,8
Kind Hearts and Coronets,1949,8
Haider,2014,8
Central Station,1998,8
The Exterminating Angel,1962,8
Elite Squad 2: The Enemy Within,2010,8
Tae Guk Gi: The Brotherhood of War,2004,8
Through a Glass Darkly,1961,8
G.O.R.A.,2004,8
Special 26,2013,8
Sanjuro,1962,8
"Rome, Open City",1945,8
"Carry On, Munna Bhai",2006,8
Winter Light,1963,8
Vizontele,2001,8
The Breath,2009,8
Andaz Apna Apna,1994,8
Everything Everywhere All at Once,2022,7.9
Puss in Boots: The Last Wish,2022,7.9
RRR,2022,7.9
Titanic,1997,7.9
"Crouching Tiger, Hidden Dragon",2000,7.9
Knives Out,2019,7.9
Avatar,2009,7.9
In Bruges,2008,7.9
Spartacus,1960,7.9
Jojo Rabbit,2019,7.9
Arrival,II) (2016,7.9
Bohemian Rhapsody,2018,7.9
Harry Potter and the Prisoner of Azkaban,2004,7.9
Edge of Tomorrow,2014,7.9
Iron Man,2008,7.9
Almost Famous,2000,7.9
E.T. the Extra-Terrestrial,1982,7.9
True Romance,1993,7.9
Boogie Nights,1997,7.9
Shrek,2001,7.9
Mulholland Drive,2001,7.9
Star Trek,2009,7.9
Thor: Ragnarok,2017,7.9
Mystic River,2003,7.9
Children of Men,2006,7.9
The Perks of Being a Wallflower,2012,7.9
Marriage Story,2019,7.9
Life of Pi,2012,7.9
Dallas Buyers Club,2013,7.9
The Wrestler,2008,7.9
This Is Spinal Tap,1984,7.9
Fantastic Mr. Fox,2009,7.9
Wonder,I) (2017,7.9
District 9,2009,7.9
Shaun of the Dead,2004,7.9
The Bourne Identity,2002,7.9
Boyhood,I) (2014,7.9
A Streetcar Named Desire,1951,7.9
The Ten Commandments,1956,7.9
X-Men: Days of Future Past,2014,7.9
The Artist,I) (2011,7.9
The Blues Brothers,1980,7.9
Toy Story 2,1999,7.9
Edward Scissorhands,1990,7.9
Brazil,1985,7.9
The Man from Earth,2007,7.9
All the President's Men,1976,7.9
Hero,2002,7.9
In the Heat of the Night,1967,7.9
A Fistful of Dollars,1964,7.9
Sing Street,2016,7.9
The Wild Bunch,1969,7.9
In Cold Blood,1967,7.9
The Nightmare Before Christmas,1993,7.9
Doctor Zhivago,1965,7.9
Before Midnight,2013,7.9
Charade,1963,7.9
The Searchers,1956,7.9
Nosferatu,1922,7.9
Carlito's Way,1993,7.9
Bound by Honor,1993,7.9
Ghost in the Shell,1995,7.9
The Philadelphia Story,1940,7.9
The Manchurian Candidate,1962,7.9
Let the Right One In,2008,7.9
Letters from Iwo Jima,2006,7.9
Three Colors: Blue,1993,7.9
The Raid 2,2014,7.9
King Kong,1933,7.9
A Christmas Story,1983,7.9
Shoplifters,2018,7.9
Patton,1970,7.9
Dancer in the Dark,2000,7.9
The Big Sleep,1946,7.9
Harold and Maude,1971,7.9
Togo,2019,7.9
The Lion in Winter,1968,7.9
Cat on a Hot Tin Roof,1958,7.9
Amour,2012,7.9
Harvey,1950,7.9
The Adventures of Robin Hood,1938,7.9
Rope,1948,7.9
Whisper of the Heart,1995,7.9
Notorious,1946,7.9
Mildred Pierce,1945,7.9
Talk to Her,2002,7.9
Short Term 12,2013,7.9
Laura,1944,7.9
Once Were Warriors,1994,7.9
The Conformist,1970,7.9
Strangers on a Train,1951,7.9
The Killing,1956,7.9
A Taxi Driver,2017,7.9
Kal Ho Naa Ho,2003,7.9
My Name Is Khan,2010,7.9
Gully Boy,2019,7.9
Jab We Met,2007,7.9
Arsenic and Old Lace,1944,7.9
Head-On,2004,7.9
3-Iron,2004,7.9
I Remember,1973,7.9
The Thin Man,1934,7.9
The Big Heat,1953,7.9
The Sacrifice,1986,7.9
Kagemusha,1980,7.9
The Rules of the Game,1939,7.9
The Lost Weekend,1945,7.9
Hiroshima Mon Amour,1959,7.9
Miracle on 34th Street,1947,7.9
In a Lonely Place,1950,7.9
Nine Queens,2000,7.9
Battleship Potemkin,1925,7.9
No Man's Land,I) (2001,7.9
Elevator to the Gallows,1958,7.9
Le Cercle Rouge,1970,7.9
The Way He Looks,2014,7.9
"4 Months, 3 Weeks and 2 Days",2007,7.9
Super 30,2019,7.9
Beauty and the Beast,1946,7.9
M.S. Dhoni: The Untold Story,2016,7.9
About Elly,2009,7.9
Badhaai Ho,2018,7.9
Sullivan's Travels,1941,7.9
C.R.A.Z.Y.,2005,7.9
The Return,2003,7.9
Pad Man,2018,7.9
Dev.D,2009,7.9
Baby,I) (2015,7.9
Airlift,2016,7.9
The Whale,2022,7.8
All Quiet on the Western Front,2022,7.8
Avatar: The Way of Water,2022,7.8
The Batman,2022,7.8
The Gentlemen,2019,7.8
The Big Short,2015,7.8
Little Women,2019,7.8
The Breakfast Club,1985,7.8
Pride & Prejudice,2005,7.8
Call Me by Your Name,2017,7.8
Rogue One: A Star Wars Story,2016,7.8
Hidden Figures,2016,7.8
Dunkirk,2017,7.8
Tombstone,1993,7.8
The Hateful Eight,2015,7.8
Drive,I) (2011,7.8
The Irishman,2019,7.8
The Hobbit: An Unexpected Journey,2012,7.8
The Notebook,2004,7.8
Remember the Titans,2000,7.8
The Fugitive,1993,7.8
The Social Network,2010,7.8
Cast Away,2000,7.8
Ghostbusters,1984,7.8
Mary Poppins,1964,7.8
About Time,I) (2013,7.8
The Curious Case of Benjamin Button,2008,7.8
Ferris Bueller's Day Off,1986,7.8
The Worst Person in the World,2021,7.8
Star Wars: Episode VII - The Force Awakens,2015,7.8
Apocalypto,2006,7.8
Little Miss Sunshine,2006,7.8
American Gangster,2007,7.8
Manchester by the Sea,2016,7.8
Gattaca,1997,7.8
Midnight Cowboy,1969,7.8
Misery,1990,7.8
Predator,1987,7.8
The Asphalt Jungle,1950,7.8
Atonement,2007,7.8
Nightcrawler,2014,7.8
The Untouchables,1987,7.8
The Girl with the Dragon Tattoo,2011,7.8
Thirteen Lives,2022,7.8
Captain America: Civil War,2016,7.8
My Fair Lady,1964,7.8
Skyfall,2012,7.8
Hot Fuzz,2007,7.8
Willy Wonka & the Chocolate Factory,1971,7.8
Boyz n the Hood,1991,7.8
Taken,I) (2008,7.8
Moon,2009,7.8
The Hobbit: The Desolation of Smaug,2013,7.8
Big Hero 6,2014,7.8
Paddington 2,2017,7.8
The Sandlot,1993,7.8
Captain America: The Winter Soldier,2014,7.8
The Fighter,I) (2010,7.8
I Saw the Devil,2010,7.8
Captain Fantastic,2016,7.8
The Last Samurai,2003,7.8
Mr. Nobody,2009,7.8
Walk the Line,2005,7.8
Awakenings,1990,7.8
Captain Phillips,2013,7.8
Back to the Future Part II,1989,7.8
Straight Outta Compton,2015,7.8
Glory,1989,7.8
The Holy Mountain,1973,7.8
Serenity,2005,7.8
A Bronx Tale,1993,7.8
Being John Malkovich,1999,7.8
The Remains of the Day,1993,7.8
Cabaret,1972,7.8
My Left Foot,1989,7.8
Hunt for the Wilderpeople,2016,7.8
Moonrise Kingdom,2012,7.8
The Fall,I) (2006,7.8
Kramer vs. Kramer,1979,7.8
The Umbrellas of Cherbourg,1964,7.8
Isle of Dogs,2018,7.8
The Girl with the Dragon Tattoo,2009,7.8
The Conversation,1974,7.8
How to Train Your Dragon 2,2014,7.8
Once,I) (2007,7.8
Mississippi Burning,1988,7.8
The Best Offer,2013,7.8
October Sky,1999,7.8
Kiki's Delivery Service,1989,7.8
The King of Comedy,1982,7.8
The Insider,1999,7.8
The Man Who Would Be King,1975,7.8
The Killing Fields,1984,7.8
All About My Mother,1999,7.8
Guess Who's Coming to Dinner,1967,7.8
The Outlaw Josey Wales,1976,7.8
Dawn of the Dead,1978,7.8
Changeling,2008,7.8
The Right Stuff,1983,7.8
Night of the Living Dead,1968,7.8
Days of Heaven,1978,7.8
All That Jazz,1979,7.8
Stagecoach,1939,7.8
Ed Wood,1994,7.8
Loving Vincent,2017,7.8
East of Eden,1955,7.8
Gaslight,1944,7.8
Pride,I) (2014,7.8
The Day the Earth Stood Still,1951,7.8
The World's Fastest Indian,2005,7.8
Mother,2009,7.8
Breaking the Waves,1996,7.8
Freaks,1932,7.8
The Chaser,2008,7.8
Duck Soup,1933,7.8
Frankenstein,1931,7.8
Hannah and Her Sisters,1986,7.8
His Girl Friday,1940,7.8
Lilya 4-Ever,2002,7.8
Manhattan,1979,7.8
You Can't Take It with You,1938,7.8
The Day of the Jackal,1973,7.8
Bringing Up Baby,1938,7.8
Red River,1948,7.8
Shadow of a Doubt,1943,7.8
The White Ribbon,2009,7.8
Land of Mine,2015,7.8
The Killer,1989,7.8
"Aguirre, the Wrath of God",1972,7.8
To Have and Have Not,1944,7.8
The Discreet Charm of the Bourgeoisie,1972,7.8
Batman: Mask of the Phantasm,1993,7.8
A Prophet,2009,7.8
Ninja Scroll,1993,7.8
"I, Daniel Blake",2016,7.8
The Bride of Frankenstein,1935,7.8
"Like Father, Like Son",2013,7.8
The Lunchbox,2013,7.8
The Lady Vanishes,1938,7.8
Cowboy Bebop: The Movie,2001,7.8
The Chorus,2004,7.8
The Innocents,1961,7.8
Vivre Sa Vie,1962,7.8
The Postman,1994,7.8
L'Avventura,1960,7.8
Millennium Actress,2001,7.8
Veer Zaara,2004,7.8
Tokyo Godfathers,2003,7.8
Crimes and Misdemeanors,1989,7.8
Once Upon a Time in Anatolia,2011,7.8
Knockin' on Heaven's Door,1997,7.8
English Vinglish,2012,7.8
Hindi Medium,2017,7.8
A Night at the Opera,1935,7.8
Vicky Donor,2012,7.8
The Banshees of Inisherin,2022,7.7
The Goonies,1985,7.7
Aftersun,II) (2022,7.7
The Hangover,2009,7.7
Get Out,I) (2017,7.7
Crash,I) (2004,7.7
Harry Potter and the Goblet of Fire,2005,7.7
Blazing Saddles,1974,7.7
The Boondock Saints,1999,7.7
The Longest Day,1962,7.7
The Count of Monte Cristo,2002,7.7
The Quiet Man,1952,7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7
A Man Called Ove,2015,7.7
The Dirty Dozen,1967,7.7
Mission: Impossible - Fallout,2018,7.7
Brokeback Mountain,2005,7.7
Black Hawk Down,2001,7.7
Kingsman: The Secret Service,2014,7.7
Airplane!,1980,7.7
Harry Potter and the Deathly Hallows: Part 1,2010,7.7
Deadpool 2,2018,7.7
Blue Is the Warmest Colour,2013,7.7
Ex Machina,2014,7.7
Silver Linings Playbook,2012,7.7
The Last of the Mohicans,1992,7.7
Argo,2012,7.7
Ocean's Eleven,2001,7.7
Zodiac,2007,7.7
Halloween,1978,7.7
Wind River,2017,7.7
Primal Fear,1996,7.7
Lost in Translation,2003,7.7
Tangled,2010,7.7
As Good as It Gets,1997,7.7
Home Alone,1990,7.7
A Few Good Men,1992,7.7
What's Eating Gilbert Grape,1993,7.7
Another Round,2020,7.7
Training Day,2001,7.7
Man on Fire,2004,7.7
And Your Mother Too,2001,7.7
Fried Green Tomatoes,1991,7.7
Road to Perdition,2002,7.7
The Game,1997,7.7
Sound of Metal,2019,7.7
500 Days of Summer,2009,7.7
Gravity,2013,7.7
The Lego Movie,2014,7.7
Blue Velvet,1986,7.7
Philadelphia,1993,7.7
X-Men: First Class,2011,7.7
Deliverance,1972,7.7
First Blood,1982,7.7
The Machinist,2004,7.7
Toy Story 4,2019,7.7
The Color Purple,1985,7.7
The French Connection,1971,7.7
Apollo 13,I) (1995,7.7
Midnight in Paris,2011,7.7
The Boy in the Striped Pajamas,2008,7.7
Coraline,2009,7.7
"South Park: Bigger, Longer & Uncut",1999,7.7
Who Framed Roger Rabbit,1988,7.7
The Magnificent Seven,1960,7.7
Wreck-It Ralph,2012,7.7
Evil Dead II,1987,7.7
"O Brother, Where Art Thou?",2000,7.7
When Harry Met Sally...,1989,7.7
3:10 to Yuma,2007,7.7
The Trial of the Chicago 7,2020,7.7
Star Trek Into Darkness,2013,7.7
Empire of the Sun,1987,7.7
Adaptation.,2002,7.7
The Theory of Everything,2014,7.7
The Fault in Our Stars,2014,7.7
Sense and Sensibility,1995,7.7
The Last Emperor,1987,7.7
Roma,2018,7.7
Ordinary People,1980,7.7
Star Trek II: The Wrath of Khan,1982,7.7
Malcolm X,1992,7.7
Glengarry Glen Ross,1992,7.7
Naked,1993,7.7
The Bourne Supremacy,2004,7.7
Billy Elliot,2000,7.7
Goldfinger,1964,7.7
Lucky Number Slevin,2006,7.7
Detachment,2011,7.7
Serpico,1973,7.7
Bonnie and Clyde,1967,7.7
Clerks,1994,7.7
Dirty Harry,1971,7.7
Donnie Brasco,1997,7.7
Kung Fu Hustle,2004,7.7
Flipped,I) (2010,7.7
The Name of the Rose,1986,7.7
Zulu,1964,7.7
Miller's Crossing,1990,7.7
This Is England,2006,7.7
Ray,I) (2004,7.7
Kubo and the Two Strings,2016,7.7
The Verdict,1982,7.7
The Great Beauty,2013,7.7
Paprika,2006,7.7
Beasts of No Nation,2015,7.7
The Wind Rises,2013,7.7
Belle de Jour,1967,7.7
A Man for All Seasons,1966,7.7
Good Bye Lenin!,2003,7.7
Fantasia,1940,7.7
Open Your Eyes,1997,7.7
Happiness,1998,7.7
Finding Neverland,2004,7.7
The Vanishing,1988,7.7
Black Book,2006,7.7
Happy Together,1997,7.7
Waking Life,2001,7.7
Hamlet,1996,7.7
Breathless,1960,7.7
The Salesman,2016,7.7
Run Lola Run,1998,7.7
Me and Earl and the Dying Girl,2015,7.7
Fantastic Planet,1973,7.7
Badlands,1973,7.7
The Man from Nowhere,2010,7.7
The Caine Mutiny,1954,7.7
The African Queen,1951,7.7
Nebraska,2013,7.7
The Double Life of Véronique,1991,7.7
In America,2002,7.7
Porco Rosso,1992,7.7
The Motorcycle Diaries,2004,7.7
When Marnie Was There,2014,7.7
Short Cuts,1993,7.7
Perfect Strangers,2016,7.7
The Little Prince,2015,7.7
Black Narcissus,1947,7.7
Invasion of the Body Snatchers,1956,7.7
The Broken Circle Breakdown,2012,7.7
Hard Boiled,1992,7.7
Frost/Nixon,2008,7.7
Night on Earth,1991,7.7
Scarface,1932,7.7
Cape Fear,1962,7.7
Confessions,2010,7.7
Key Largo,1948,7.7
Hedwig and the Angry Inch,2001,7.7
Dreams,1990,7.7
The Experiment,2001,7.7
Wait Until Dark,1967,7.7
The Triplets of Belleville,2003,7.7
The Magdalene Sisters,2002,7.7
The Breadwinner,2017,7.7
